Timestamp,Q1,Q2,Q3,Q4,Q5,Age,Gender,Occupation 
5/2/2023 11:12:29,1,2,10,Difference-honoring feminism,No,21,female,student
5/2/2023 11:29:18,1,3,8,Difference-honoring feminism,No,21,Male,Student
5/2/2023 11:47:37,5,5,7,Difference-honoring feminism,No,19,male,student
5/2/2023 11:57:05,1,5,10,Difference-removing feminism,No,21,,student
5/2/2023 12:02:17,7,1,9,Difference-removing feminism,No,20,Female,Student  / Desk Operations Supervisor
5/2/2023 12:14:20,3,1,10,Difference-honoring feminism,No,17,Female ,Student 
5/2/2023 12:15:59,1,1,6,Difference-honoring feminism,Yes,59,Female,Life nurturer
5/2/2023 12:33:19,1,2,6,Difference-honoring feminism,No,20,female ,student 
5/2/2023 13:16:05,5,5,5,Difference-denying feminism,Yes,22,Male,Student/ worker/ parent
5/2/2023 13:45:28,7,6,8,Difference-denying feminism,No,22,male,Student
5/2/2023 15:35:59,1,1,10,Difference-honoring feminism,No,33,Female ,Life nurturer
5/2/2023 20:48:48,2,5,9,Difference-honoring feminism,No,21,Male,Student